titre,place,latitude,longitude,avecImg,annee,genre,boxoffice,titreCod
La belle et la bete , Aveyron , 44.26447754856443, 2.349504221011685,0,2002-01-01,Musical,25487028,
Cendrillon , Chateau de Morimont , 47.4542302520068, 7.212789361175361,0,2015-03-13,Drama,201151353,
Merlin l enchanteur , Broceliande , 48.034889870568634,-2.164775153898532,0,1963-12-25,Adventure,22182353,
Les aristochats , Paris , 48.86866380168743, 2.3577806117968376,0,1970-04-24,Musical,55675257,
Ratatouille , Paris , 48.86866380168743, 2.3577806117968376,0,2007-06-29,Comedy,206445654,
Le roi Lion , Kenya / Laikipia , 0.26873704702608037, 36.782636174756995,0,1994-06-15,Adventure,422780140,
Bambi , Virginie , 37.36926635525724,-78.5017034208304,0,,Drama,267400000,
La belle et le clochard , Nouvelle Angleterre , 43.562755112228785, -71.74060334849577,0,1955-06-22,Drama,93600000,
Bernard et Bianca , New York , 40.714847191526026,-74.00443237002098,0,1977-06-22,Adventure,48775599,
Pocahontas , Virginie , 37.425780980283356 ,-78.31338938307901,0,1995-06-10,Adventure,141579773,
Lilo & Stitch , Hawaii , 20.01837475326641,-155.7028486303475,0,2002-06-21,Adventure,145771527,
Frere de Ours , Alaska , 65.0535107856247,-152.29010108679228,0,2003-10-24,Adventure,85336277,
La princesse et la grenouille , La nouvelle Orleans , 29.959336427724086,-90.08867509619427,0,2009-11-25,Adventure,104400899,
Vice-versa , Sans Francisco , 37.7473175621726,-122.45427945239705,0,2015-06-19,Adventure,356461711,
Mary Poppins , Londres , 51.51360452301571,-0.13456417043260147,0,1995-07-28,Musical,103000000,
Alice aux pays des merveilles , Angleterre , 52.43323561276473,-1.6052098055653592,0,2010-03-05,Adventure,334191110,
101 Dalmatiens , Londres , 51.51360452301571,0.13456417043260147,0,1961-01-25,Comedy,153000000,
Winnie L ourson , Ashdown Forest , 51.0718279320229, 0.04095133763574344,0,2011-07-15,Adventure,26692846,
Dinosaure , Pangea ,30.250272448997794,-97.52038708805071,0,2000-05-19,Adventure,137748063,
Dumbo , Mali , 18.172042612275487,-2.044773563463782,0,,Drama,1600000,
Tarzan , Nigeria , 9.310206020650863, 7.937197546762579,0,1999-06-16,Adventure,171091819,
Le livre de la jungle , Inde , 22.38486589385953, 78.99652926567276,0 2,2003-02-14,Adventure,47901582,
Pinocchio ,, 42.964580088069624, 12.48556915339355,0,1940-02-09,Adventure,84300000,
Vaiana , Samoa , -13.644926526202852, -172.44904833113466,1,2016-11-23,Adventure,246082029,VAIANA
Hercule , Grece , 39.29530143182327, 22.605628565433907,1,1997-06-13,Adventure,99112101,HERCULE
La petite Sirene , Chateau de Chillon Lake Geneva- Suisse , 46.414449779003974, 6.927546042406091,1,1989-11-15,Adventure,111543479,PETITESIRENE
Mulan , The Forbidden City- Beijing , 39.91644030938686, 116.3971614488773,1,1998-06-19,Adventure,120620254,MULAN
Nemo , Syndney Harbour- Australie , -33.845903495662654, 151.24890346861758,1,2003-05-30,Adventure,380529370,NEMO
Peter Pan , Big Ben Londres , 51.50082936078123, -0.12463613043610705,1,2002-02-15,Adventure,48430258,PETERPAN
Raiponce , Le Mont-Saint-Michel- Normandie , 48.63670461078397, -1.5115512519483996,1,2010-11-24,Adventure,200821936,RAIPONCE
Kuzco l empereur megalo , Machu Picchu- Perou , -13.163036721286714, -72.54503800437121,1,2000-12-15,Adventure,89296573,KUSCO
Blanche Neige , Espagne , 40.95271833276485, -4.1324841577659175,1,1937-12-21,Musical,184925485,BLANCHENEIGE
Rebelle , Eilean Donan Castle-Scottish Highlands , 57.27401168605512, -5.516179959058344,1,2012-06-22,Adventure,237282182,REBELLE
Là Haut , Angel Falls- Venezuela , 5.970226039641657, -62.53614869707909,1,2009-05-29,Adventure,293004164,LAHAUT
La reine des neiges ,St. Olaf s Church- Balestrand- Norvege , 61.207679595618316, 6.534271825751063,1,2013-11-22,Adventure,400738009,FROZEN
Le bossu de notre dame , Cathedrale Notre-Dame -Paris , 48.85320481094248, 2.349720192066628,1,1996-06-21,Adventure,100138851,LEBOSSUDENOTREDAME
Aladdin , Taj Mahal-Agra-India , 27.175316584401724, 78.04223875722764,1,1959-01-29,Comedy,9464608,ALLADIN
La belle au bois dormant , Neuschwanstein Castle- Allemagne , 47.55771878586637, 10.74995060196989,1,1988-11-18,Adventure,49576671,BELLEAUBOISDORMANT
Oliver et Compagnie , New York , 40.725439931743686, -74.01392569524064,1,1988-11-18,Adventure,49576671,OLIVIERCOMPAGNIE
Cars, Texas , 35.22681943457396, -100.24870794628883,1,2006-06-09,Comedy,244082982,CARS
